ten_mon,ten_khac_bien_the,nhom_mon,mo_ta_ngan,thanh_phan_dac_trung,khu_vuc_pho_bien_o_Ha_Noi,an_sang_trua_toi_an_vat,muc_do_pho_bien,nguon_tham_khao
Mandu,há cảo Hàn Quốc,Món Hàn,"Bánh bột nhân thịt/rau, hấp hoặc chiên.","bột mì, thịt, đậu phụ, hẹ, kimchi",Nhà hàng Hàn; khu ăn vặt,ăn vặt; trưa; tối,Khá phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19; https://welcome.deliveryk.com/en/best-korean-bunsik-in-hanoi-must-try-tokbokki-kimbap-korean-street-food-spots/
Samgyeopsal,ba chỉ nướng Hàn Quốc,Món Hàn,"Ba chỉ lợn nướng tại bàn, cuốn rau với kimchi và ssamjang.","ba chỉ lợn, xà lách, kimchi, tỏi, ssamjang",Mỹ Đình; Cầu Giấy; Thanh Xuân,trưa; tối,Rất phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19; https://welcome.deliveryk.com/en/best-korean-bunsik-in-hanoi-must-try-tokbokki-kimbap-korean-street-food-spots/
Tteokbokki,tokbokki; bánh gạo cay; rose tteokbokki,Món Hàn,"Bánh gạo dai nấu sốt cay ngọt, có bản kem rose.","bánh gạo, gochujang, chả cá, hành, trứng",Mỹ Đình; Cầu Giấy; trung tâm thương mại,ăn vặt; trưa; tối,Rất phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19; https://welcome.deliveryk.com/en/best-korean-bunsik-in-hanoi-must-try-tokbokki-kimbap-korean-street-food-spots/
Jajangmyeon,mì tương đen,Món Hàn-Hoa,Mì sợi phủ sốt đậu đen với thịt và rau củ.,"mì, chunjang, thịt lợn, hành tây, bí ngòi",Mỹ Đình; Cầu Giấy; giao đồ ăn,trưa; tối,Phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19; https://welcome.deliveryk.com/en/best-korean-bunsik-in-hanoi-must-try-tokbokki-kimbap-korean-street-food-spots/
Poke bowl,poke cá hồi; poke cá ngừ,Món Hawaii/quốc tế,"Tô cơm với cá sống ướp, rau, rong biển và sốt.","cơm, cá hồi/cá ngừ, bơ, rong biển, rau, sốt",Tây Hồ; Hoàn Kiếm; Cầu Giấy; giao đồ ăn,trưa; tối,Phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Dimsum,điểm tâm; yum cha,Món Hoa,"Nhóm bánh hấp/chiên nhỏ như há cảo, xíu mại, bánh bao.","bột, tôm, thịt lợn, nấm, rau",Hoàn Kiếm; Ba Đình; trung tâm thương mại,sáng; trưa; tối,Rất phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Há cảo tôm,har gow,Món Hoa,"Bánh hấp vỏ trong dai, nhân tôm.","bột há cảo, tôm, mỡ lợn, măng",Nhà hàng dimsum toàn thành phố,trưa; tối,Phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Mì hoành thánh,wonton noodles,Món Hoa,Mì trứng nước với hoành thánh nhân tôm/thịt và rau.,"mì trứng, hoành thánh, tôm/thịt, cải, nước dùng",Phố cổ; nhà hàng Hoa,sáng; trưa; tối,Phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Tiểu long bao,xiaolongbao; bánh bao súp,Món Hoa,Bánh bao hấp nhỏ chứa nhân thịt và nước súp.,"bột mì, thịt lợn, thạch nước dùng, gừng",Nhà hàng Hoa; trung tâm thương mại,trưa; tối,Phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Vịt quay Bắc Kinh,Peking duck,Món Hoa,Vịt quay da giòn cuốn bánh mỏng với hành và sốt.,"vịt, bánh cuốn mỏng, hành, dưa chuột, sốt hoisin",Hoàn Kiếm; Ba Đình; nhà hàng Hoa,trưa; tối,Phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Xíu mại hấp,siu mai,Món Hoa,Viên nhân thịt/tôm hấp trong vỏ bột mở miệng.,"thịt lợn, tôm, bột mì, nấm, trứng cua",Nhà hàng dimsum toàn thành phố,trưa; tối,Phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Cơm hến,bún hến,Món Huế,"Cơm nguội hoặc bún trộn hến xào, rau, lạc và nước hến.","cơm/bún, hến, rau thơm, lạc, mắm ruốc",Quán Huế; Cầu Giấy; Đống Đa,trưa; tối,Phổ biến,https://www.vietnam.travel/things-to-do/how-eat-local-hue
Acai bowl,tô açaí trái cây,Món lành mạnh quốc tế,"Açaí xay đặc phủ trái cây, granola và hạt.","açaí, chuối, berries, granola, hạt",Tây Hồ; Hoàn Kiếm; quán healthy,sáng; ăn vặt,Khá phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Burrito,burrito bowl,Món Mexico,"Tortilla cuộn cơm, đậu, thịt, salsa; có bản tô không vỏ.","tortilla, cơm, đậu, thịt, salsa, phô mai",Tây Hồ; Hoàn Kiếm; giao đồ ăn,trưa; tối,Khá phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Tacos,taco bò; taco gà,Món Mexico,"Bánh tortilla gập nhân thịt, salsa, rau và phô mai.","tortilla, thịt bò/gà, salsa, rau, phô mai",Tây Hồ; Hoàn Kiếm; quán Mexico,trưa; tối,Khá phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Miến cua,miến cua nước; miến cua trộn,Món miến,"Miến với thịt cua, chả cua và rau; phục vụ nước hoặc trộn.","miến dong, cua, chả cua, rau cần, hành phi",Hoàn Kiếm; Ba Đình,trưa; tối,Khá phổ biến,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/
Miến gà,miến gà nước; miến gà trộn,Món miến,Miến dong dai với gà xé và nước dùng trong hoặc sốt trộn.,"miến dong, gà, măng, hành, rau răm",Toàn thành phố,sáng; trưa; tối,Rất phổ biến,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/
Miến lươn,miến lươn nước; miến lươn trộn; miến xào lươn,Món miến Hà Nội,"Miến ăn với lươn giòn hoặc mềm, dạng nước, trộn hay xào.","miến dong, lươn, giá, rau răm, hành phi",Hoàn Kiếm; Ba Đình; Đống Đa,sáng; trưa; tối,Rất phổ biến,https://vietnam.travel/node/1560
Bún mắm,bún mắm miền Tây,Món miền Nam,"Bún nước dùng mắm cá đậm vị với hải sản, thịt và rau.","bún, mắm cá, tôm, mực, thịt quay, rau",Một số quán miền Tây; Cầu Giấy; Thanh Xuân,trưa; tối,Ít gặp hơn,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Bún thịt nướng,bún thịt nướng Nam Bộ,Món miền Nam,"Bún khô với thịt nướng, rau, lạc, đồ chua và nước mắm.","bún, thịt lợn nướng, rau, lạc, đồ chua",Toàn thành phố,trưa; tối,Rất phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Cơm tấm,cơm tấm sườn bì chả,Món miền Nam,"Cơm hạt tấm với sườn nướng, bì, chả trứng và nước mắm ngọt.","gạo tấm, sườn, bì, chả trứng, mỡ hành",Toàn thành phố; nhiều chuỗi/quán miền Nam,sáng; trưa; tối,Rất phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Hủ tiếu bò kho,bò kho bánh mì,Món miền Nam,"Bò hầm cà rốt, sả và gia vị, ăn với hủ tiếu hoặc bánh mì.","thịt bò, cà rốt, sả, hồi, hủ tiếu/bánh mì",Toàn thành phố,sáng; trưa; tối,Phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Hủ tiếu Nam Vang,hủ tiếu khô; hủ tiếu nước,Món miền Nam,"Hủ tiếu với thịt băm, tôm, trứng cút và nội tạng; có bản khô.","hủ tiếu, thịt lợn, tôm, trứng cút, giá, hẹ",Đống Đa; Cầu Giấy; khu trung tâm,sáng; trưa; tối,Phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Bánh canh cá lóc,bánh canh cá,Món miền Trung,"Bánh canh nước trong với cá lóc, hành và rau thơm.","bánh canh, cá lóc, hành, rau răm, tiêu",Quán miền Trung toàn thành phố,sáng; trưa,Khá phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Bún bò Huế,bún bò; bún bò giò heo,Món miền Trung,"Bún sợi to trong nước dùng sả ruốc cay, với bò và giò heo.","bún bò, thịt bò, giò heo, sả, mắm ruốc",Toàn thành phố; quán Huế,sáng; trưa; tối,Rất phổ biến,https://www.vietnam.travel/things-to-do/how-eat-local-hue
Cao lầu,cao lầu Hội An,Món miền Trung,"Mì dai kiểu Hội An với thịt xá xíu, rau và bánh giòn.","sợi cao lầu, thịt xá xíu, rau, tóp mì",Quán đặc sản Hội An; khu trung tâm,trưa; tối,Khá phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Cơm gà Hội An,cơm gà xé; cơm gà Tam Kỳ,Món miền Trung,"Cơm vàng nấu nước gà ăn với gà xé, rau răm và đồ chua.","gạo, gà, nghệ, rau răm, hành, đu đủ",Quán miền Trung; Cầu Giấy; trung tâm,trưa; tối,Phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Mì Quảng,mì Quảng tôm thịt; mì Quảng gà,Món miền Trung,"Mì bản rộng với ít nước dùng, tôm/thịt/gà, lạc và bánh tráng.","mì Quảng, tôm, thịt/gà, lạc, bánh tráng, rau",Cầu Giấy; Đống Đa; quán miền Trung,trưa; tối,Rất phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Burger bò,hamburger; cheeseburger,Món Mỹ/quốc tế,"Bánh mì tròn kẹp thịt bò, rau, sốt và thường có phô mai.","bánh burger, thịt bò, xà lách, cà chua, phô mai, sốt",Toàn thành phố; trung tâm thương mại; giao đồ ăn,trưa; tối,Rất phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Gà rán kiểu Mỹ,fried chicken; hot chicken,Món Mỹ/quốc tế,"Miếng gà tẩm bột chiên giòn, dùng với sốt và khoai.","gà, bột chiên, gia vị, dầu, sốt",Toàn thành phố; chuỗi nhanh; giao đồ ăn,trưa; tối; ăn vặt,Rất phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Cơm cháy kho quẹt,rau củ kho quẹt,Món Nam Bộ,Cơm cháy/rau luộc chấm sốt mắm kho sệt với tóp mỡ.,"cơm cháy, nước mắm, tóp mỡ, tiêu, hành",Nhà hàng Việt; quán nhậu,trưa; tối,Phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Okonomiyaki,bánh xèo Nhật,Món Nhật,"Bánh bắp cải áp chảo phủ sốt, mayonnaise và cá bào.","bắp cải, bột, trứng, thịt/hải sản, sốt, cá bào",Nhà hàng Nhật; Cầu Giấy; Ba Đình,trưa; tối,Khá phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Ramen,shoyu ramen; miso ramen; tonkotsu ramen,Món Nhật,"Mì Nhật trong nước dùng xương hoặc tương, kèm thịt và trứng.","mì ramen, nước xương, thịt chashu, trứng, rong biển",Ba Đình; Hoàn Kiếm; Cầu Giấy,trưa; tối,Rất phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Sashimi,cá sống kiểu Nhật,Món Nhật,"Lát cá/hải sản sống dùng với wasabi, gừng và xì dầu.","cá hồi/cá ngừ, hải sản, wasabi, gừng, xì dầu",Ba Đình; Hoàn Kiếm; Cầu Giấy,trưa; tối,Rất phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Sushi,nigiri; maki; sashimi set,Món Nhật,Cơm giấm tạo hình với cá/hải sản hoặc cuộn rong biển.,"cơm giấm, cá hồi/cá ngừ, rong biển, wasabi, xì dầu",Ba Đình; Hoàn Kiếm; Cầu Giấy; trung tâm thương mại,trưa; tối,Rất phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Tempura,tôm tempura; rau củ tempura,Món Nhật,Tôm và rau áo bột nhẹ chiên giòn.,"tôm, rau củ, bột tempura, dầu, tentsuyu",Nhà hàng Nhật toàn thành phố,trưa; tối,Phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Tonkatsu,cơm thịt lợn chiên xù,Món Nhật,"Thịt cốt lết lợn tẩm bột chiên, ăn cùng bắp cải và sốt.","thịt lợn, panko, bắp cải, sốt tonkatsu, cơm",Ba Đình; Cầu Giấy; trung tâm thương mại,trưa; tối,Phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Udon,udon nước; udon xào,Món Nhật,"Mì lúa mì sợi dày, dùng trong nước dashi hoặc xào.","mì udon, dashi, xì dầu, hành, thịt/hải sản",Ba Đình; Cầu Giấy; trung tâm thương mại,trưa; tối,Phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Yakitori,gà xiên nướng Nhật,Món Nhật,"Các phần gà xiên nướng, phết tare hoặc rắc muối.","thịt gà, hành boa-rô, sốt tare, muối",Ba Đình; Hoàn Kiếm; quán izakaya,tối,Khá phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Lòng rán,lòng xào dưa; lòng nướng,Món nhậu đường phố,"Lòng lợn chế biến rán, xào hoặc nướng, dùng nóng.","lòng lợn, dưa cải, hành, rau răm, gia vị",Hai Bà Trưng; Đống Đa; quán nhậu,tối,Phổ biến,https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Ngan cháy tỏi,ngan rang tỏi,Món nhậu Hà Nội,Thịt ngan chiên/rang thơm với nhiều tỏi giòn.,"ngan, tỏi, dầu, nước mắm, tiêu",Đống Đa; Cầu Giấy; quán nhậu,tối,Rất phổ biến,https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Bún vịt,bún măng vịt,Món nước,"Bún nước dùng vịt và măng, ăn với thịt vịt chặt.","bún, vịt, măng, gừng, hành",Toàn thành phố,trưa; tối,Phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Mì gà tần,gà tần lon; mì gà ác tần,Món nước đường phố,"Gà hầm thuốc bắc và ngải cứu, thường dùng cùng mì trứng.","gà ác/gà ta, ngải cứu, thuốc bắc, mì trứng",Phố cổ; Hàng Bồ; Cầu Giấy,tối; ăn vặt,Phổ biến,https://vietnam.travel/node/1560
Bún ốc,bún ốc nguội; bún ốc nóng; bún riêu ốc,Món nước Hà Nội,"Bún chua dịu với ốc, cà chua và giấm bỗng; có biến thể ăn nguội.","bún, ốc, cà chua, giấm bỗng, tía tô",Phố cổ; Tây Hồ; Đống Đa,sáng; trưa; ăn vặt,Rất phổ biến,https://vietnam.travel/node/1560
Bún thang,bún thang Hà Nội,Món nước Hà Nội,"Bát bún cầu kỳ với gà xé, trứng thái chỉ và giò trong nước dùng thanh.","bún, gà, trứng, giò lụa, củ cải khô, rau răm",Hoàn Kiếm; Ba Đình,sáng; trưa,Phổ biến,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/
Phở bò,phở tái; phở chín; phở nạm; phở sốt vang,Món nước Hà Nội,"Bánh phở trong nước dùng bò thơm gia vị, ăn cùng các phần thịt bò.","bánh phở, xương bò, thịt bò, hành, quế, hồi",Phố cổ; Hoàn Kiếm; Ba Đình; toàn thành phố,sáng; trưa; tối,Rất phổ biến,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/
Phở gà,phở gà ta; phở gà trộn,Món nước Hà Nội,Phở thanh vị với thịt gà; có cả bản nước và trộn.,"bánh phở, gà, xương gà, hành, lá chanh",Phố cổ; Hoàn Kiếm; toàn thành phố,sáng; trưa; tối,Rất phổ biến,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/
Bún cá rô đồng,bún cá; bún cá chiên,Món nước miền Bắc,"Cá chiên hoặc cá rô gỡ thịt trong nước dùng thanh, kèm rau xanh.","bún, cá rô/cá rô phi, cà chua, thì là, rau cần",Đống Đa; Hai Bà Trưng; Cầu Giấy,sáng; trưa,Phổ biến,https://vietnam.travel/node/1560
Bún dọc mùng,bún bung; bún sườn dọc mùng,Món nước miền Bắc,"Nước dùng sườn với dọc mùng giòn xốp, đôi khi thêm mọc.","bún, sườn lợn, dọc mùng, cà chua, hành",Ba Đình; Đống Đa; khu dân cư,sáng; trưa,Phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Bún mọc,bún mọc sườn; bún mọc dọc mùng,Món nước miền Bắc,"Bún nước trong với viên mọc giò sống, thường thêm sườn và dọc mùng.","bún, giò sống, nấm hương, sườn, dọc mùng",Hoàn Kiếm; Đống Đa; khu dân cư,sáng; trưa,Phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Bún ngan,bún ngan măng; bún ngan trộn,Món nước miền Bắc,"Bún với thịt ngan và măng, có bản nước hoặc trộn.","bún, ngan, măng, hành, rau thơm",Cầu Giấy; Đống Đa; Hai Bà Trưng,trưa; tối,Rất phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi
Bún riêu cua,bún riêu; bún riêu tóp mỡ,Món nước miền Bắc,"Nước dùng cua đồng chua nhẹ với cà chua, riêu cua và đậu.","bún, cua đồng, cà chua, đậu phụ, mắm tôm",Toàn thành phố; chợ và khu dân cư,sáng; trưa; tối,Rất phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Bánh canh cua,bánh canh ghẹ; bánh canh tôm,Món nước miền Trung/Nam,Sợi bánh canh dày trong nước sánh với cua hoặc ghẹ.,"bánh canh, cua/ghẹ, tôm, hành, tiêu",Cầu Giấy; Thanh Xuân; khu trung tâm,trưa; tối,Phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Nem lụi,nem lụi Huế,Món nướng miền Trung,"Thịt quết xiên sả nướng, cuốn rau bánh tráng và chấm tương.","thịt lợn, sả, bánh tráng, rau, tương đậu",Quán Huế; khu ăn vặt,trưa; tối; ăn vặt,Rất phổ biến,https://www.vietnam.travel/things-to-do/how-eat-local-hue
Cơm gà Hải Nam,Hainanese chicken rice,Món Singapore/Hoa,"Gà luộc mềm với cơm nấu nước gà, sốt gừng ớt.","gà, gạo, gừng, hành, nước gà, sốt ớt",Trung tâm thương mại; Cầu Giấy; Hoàn Kiếm,trưa; tối,Phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Laksa,curry laksa,Món Singapore/Malaysia,Mì nước cốt dừa cay thơm với hải sản/đậu phụ.,"mì, nước cốt dừa, cà ri, tôm, đậu phụ, giá",Nhà hàng Đông Nam Á; khu trung tâm,trưa; tối,Khá phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Cá suối nướng,pa pỉnh tộp,Món Tây Bắc,Cá nước ngọt kẹp nướng với rau thơm và gia vị núi rừng.,"cá suối, mắc khén, sả, rau thơm",Quán Tây Bắc; Ba Vì; Hòa Lạc,trưa; tối,Khá phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Lợn mán nướng,lợn cắp nách; lợn bản,Món Tây Bắc,"Thịt lợn bản nướng/áp chảo, thơm mắc khén và lá rừng.","thịt lợn bản, mắc khén, sả, lá thơm",Ba Vì; Hòa Lạc; quán Tây Bắc,trưa; tối,Phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Gà nướng cơm lam,cơm lam gà nướng,Món Tây Bắc/Tây Nguyên,Gà nướng gia vị ăn với cơm nếp nướng trong ống tre.,"gà, mắc khén/sả, gạo nếp, ống tre",Ba Vì; quán Tây Bắc; ngoại thành,trưa; tối,Phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Cà ri xanh Thái,green curry,Món Thái,Cà ri nước cốt dừa màu xanh với thịt và rau.,"cốt dừa, cà ri xanh, gà/bò, cà tím, húng quế",Nhà hàng Thái; trung tâm thương mại,trưa; tối,Phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Pad Thai,phở xào Thái,Món Thái,"Mì gạo xào chua ngọt với tôm/thịt, trứng, giá và lạc.","mì gạo, tôm/thịt, trứng, giá, me, lạc",Trung tâm thương mại; Tây Hồ; Hoàn Kiếm,trưa; tối,Rất phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Som tam,gỏi đu đủ Thái,Món Thái,"Đu đủ xanh giã trộn chua cay với đậu, cà chua và lạc.","đu đủ xanh, ớt, chanh, nước mắm, lạc, cà chua",Nhà hàng Thái; Tây Hồ; khu trung tâm,trưa; tối,Phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Tom yum,canh tôm chua cay Thái,Món Thái,"Canh chua cay thơm sả, riềng, lá chanh với tôm.","tôm, sả, riềng, lá chanh, ớt, chanh",Nhà hàng Thái; trung tâm thương mại,trưa; tối,Rất phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Kebab,doner kebab; bánh mì tam giác,Món Thổ Nhĩ Kỳ/quốc tế,"Bánh mì kẹp thịt quay lát, bắp cải/rau và sốt.","bánh mì dẹt, thịt gà/bò, rau, hành, sốt",Phố cổ; Cầu Giấy; khu trường học,trưa; tối; ăn vặt,Rất phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Bánh đa trộn,bánh đa gà trộn; bánh đa cua trộn,Món trộn đường phố,"Bánh đa dai trộn cùng chả, đậu, rau và sốt chua ngọt.","bánh đa, chả cá, giò, đậu phụ, lạc, rau",Phố cổ; Hoàn Kiếm,trưa; tối; ăn vặt,Phổ biến,https://vietnam.travel/node/1560
Falafel,bánh đậu gà chiên,Món Trung Đông,"Viên đậu gà xay chiên, dùng trong pita với rau và sốt tahini.","đậu gà, rau mùi, thì là, pita, tahini",Tây Hồ; Hoàn Kiếm; quán Trung Đông,trưa; tối,Khá phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Shawarma,shawarma gà/bò,Món Trung Đông,"Thịt quay trục cuốn cùng pita, rau và sốt tỏi.","thịt gà/bò, pita, rau, sốt tỏi, gia vị",Tây Hồ; Hoàn Kiếm; quán Trung Đông,trưa; tối,Khá phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Thắng cố,thắng cố ngựa/bò,Món vùng cao,"Món hầm nội tạng và thịt với gia vị vùng cao, thường dùng ở quán đặc sản.","thịt/nội tạng, thảo quả, sả, gừng, mắc khén",Một số quán Tây Bắc và sự kiện văn hóa,trưa; tối,Ít gặp hơn,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Bún quậy,bún quậy Phú Quốc,Món vùng đảo,"Bún tươi với chả tôm/cá quết, nước dùng thanh và nước chấm tự pha.","bún tươi, tôm, cá, hành, tiêu, quất",Một số chuỗi/quán đặc sản,trưa; tối,Khá phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Bánh đa cua,bánh đa cua Hải Phòng; bánh đa cua trộn,Món vùng miền phía Bắc,"Bánh đa đỏ với nước cua, chả lá lốt, rau và topping đa dạng.","bánh đa đỏ, cua đồng, chả lá lốt, rau muống, hành",Đống Đa; Cầu Giấy; Hai Bà Trưng,trưa; tối,Rất phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Phở xào bò,phở xào mềm; áp chảo,Món xào,"Bánh phở xào lửa lớn với thịt bò và rau, vị đậm.","bánh phở, thịt bò, cải xanh, hành tây, xì dầu",Toàn thành phố,trưa; tối,Phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Phở chiên phồng,phở chiên giòn; phở chiên trứng,Món xào Hà Nội,Bánh phở chiên phồng/giòn dùng với bò và rau cải xào sốt.,"bánh phở, thịt bò, cải, hành tây, sốt",Ngũ Xã; Ba Đình,trưa; tối,Phổ biến,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/
Carbonara,mì Ý sốt kem trứng,Món Ý,Pasta sốt trứng/phô mai và thịt muối; nhiều quán dùng kem.,"pasta, trứng, parmesan, thịt muối, tiêu",Tây Hồ; Hoàn Kiếm; trung tâm thương mại,trưa; tối,Rất phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Lasagna,lasagne bò,Món Ý,"Pasta xếp lớp với sốt thịt, béchamel và phô mai, nướng.","lá lasagna, thịt bò, cà chua, béchamel, phô mai",Quán Ý; Tây Hồ; Hoàn Kiếm,trưa; tối,Phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Pizza Margherita,pizza phô mai cà chua,Món Ý,"Pizza đế nướng với cà chua, mozzarella và húng quế.","bột mì, cà chua, mozzarella, húng quế, dầu ô liu",Tây Hồ; Hoàn Kiếm; Cầu Giấy; giao đồ ăn,trưa; tối,Rất phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Risotto,risotto nấm; risotto hải sản,Món Ý,"Cơm Ý nấu sánh với nước dùng, bơ và phô mai.","gạo arborio, nước dùng, bơ, parmesan, nấm/hải sản",Nhà hàng Ý; Tây Hồ; Hoàn Kiếm,trưa; tối,Khá phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Spaghetti Bolognese,mì Ý sốt bò bằm,Món Ý,Mì spaghetti với sốt cà chua và thịt bò băm.,"spaghetti, thịt bò, cà chua, hành, thảo mộc",Toàn thành phố; quán Âu; giao đồ ăn,trưa; tối,Rất phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
