ma_mon,ten_mon,nhom_mon,stt_thanh_phan,thanh_phan_goc,thanh_phan_chuan_hoa,ten_tham_chieu_tieng_anh,nhom_thanh_phan,trang_thai_tham_chieu,vai_tro_trong_mon,phan_an_duoc,loai_dong,nhom_lua_chon,tinh_vao_tong_mac_dinh,khoi_luong_uoc_tinh_g_moi_suat,kcal_tren_100g,kcal_uoc_tinh_thanh_phan_trong_suat,tong_kcal_uoc_tinh_tu_thanh_phan_da_liet_ke_mac_dinh,ty_le_kcal_trong_tong_thanh_phan_da_liet_ke_phan_tram,co_so_khoi_luong,pham_vi_du_lieu,nguon_kcal,ma_du_lieu_nguon,energy_nutrient_field,ten_ban_ghi_nguon,url_nguon_kcal,url_nguon_mon_goc,do_tin_cay_kcal_100g,do_tin_cay_khoi_luong,ghi_chu,ngay_tra_cuu
HN044,Thịt trâu gác bếp,Đặc sản Tây Bắc,1,thịt trâu,Thịt trâu chín,"Buffalo meat, cooked",thịt,chín,dam_chinh,có,thành phần được liệt kê,,có,90,190,171,199.2,85.8,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,Viện Dinh dưỡng Việt Nam / FAO (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,NIN/FAO Energy kcal (trên 100 g phần ăn được),"Buffalo meat, cooked",https://viendinhduong.vn/en/cong-cu-va-tien-ich/nutritional-value-of-food; https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region,trung_binh,thap,Thịt tương đối nạc. Khối lượng phần ăn được; tổ hợp có dấu gạch chéo được coi là một lựa chọn/hỗn hợp.,2026-08-02
HN044,Thịt trâu gác bếp,Đặc sản Tây Bắc,2,mắc khén,Hạt mắc khén khô,"Vietnamese prickly ash, dried",gia vị,"khô, rang/xay",gia_vi_kho_hon_hop,có,thành phần được liệt kê,,có,3,270,8.1,199.2,4.1,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,Viện Dinh dưỡng Việt Nam / FAO (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,NIN/FAO Energy kcal (trên 100 g phần ăn được),"Vietnamese prickly ash, dried",https://viendinhduong.vn/en/cong-cu-va-tien-ich/nutritional-value-of-food; https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region,thap,thap,Proxy gần hạt tiêu Tứ Xuyên; lượng dùng rất nhỏ. Tổng lượng gia vị khô/hỗn hợp cho một suất; chuỗi gạch chéo được coi là hỗn hợp chung.,2026-08-02
HN044,Thịt trâu gác bếp,Đặc sản Tây Bắc,3,hạt dổi,Hạt dổi khô,"Doi seeds, dried",gia vị/hạt,"khô, rang",gia_vi_kho_hon_hop,có,thành phần được liệt kê,,có,3,430,12.9,199.2,6.5,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,Viện Dinh dưỡng Việt Nam / FAO (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,NIN/FAO Energy kcal (trên 100 g phần ăn được),"Doi seeds, dried",https://viendinhduong.vn/en/cong-cu-va-tien-ich/nutritional-value-of-food; https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region,thap,thap,Ước tính cho hạt gia vị giàu dầu; lượng dùng nhỏ. Tổng lượng gia vị khô/hỗn hợp cho một suất; chuỗi gạch chéo được coi là hỗn hợp chung.,2026-08-02
HN044,Thịt trâu gác bếp,Đặc sản Tây Bắc,4,ớt,Ớt tươi,"Chili pepper, raw",gia vị/rau quả,"tươi, sống",gia_vi,có,thành phần được liệt kê,,có,2,40,0.8,199.2,0.4,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,USDA SR28 / FoodData Central (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,USDA SR28 Energ_Kcal (trên 100 g phần ăn được),"Chili pepper, raw",https://catalog.data.gov/dataset/composition-of-foods-raw-processed-prepared-usda-national-nutrient-database-for-standar-28,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region,cao,thap,Ớt đỏ tươi đại diện. Lượng gia vị ước tính được ăn trong một suất.,2026-08-02
HN044,Thịt trâu gác bếp,Đặc sản Tây Bắc,5,gừng,Gừng tươi,"Ginger root, raw",gia vị,"tươi, sống",gia_vi_tuoi,có,thành phần được liệt kê,,có,8,80,6.4,199.2,3.2,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,USDA SR28 / FoodData Central (proxy),USDA SR28 NDB_No 11216,USDA SR28 Energ_Kcal (trên 100 g phần ăn được),"GINGER ROOT,RAW",https://catalog.data.gov/dataset/composition-of-foods-raw-processed-prepared-usda-national-nutrient-database-for-standar-28,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region,cao,thap,Gừng củ tươi. Lượng gia vị tươi ước/nấu trong một suất; không nhất thiết ăn hết phần xác. Khớp gần với bản ghi USDA SR28; điểm khớp 100%.,2026-08-02
HN045,Kem Hồ Tây,Đồ ngọt Hà Nội,1,sữa,Sữa bò nguyên kem,Whole milk,sữa,dạng lỏng,sua_nen,có,thành phần được liệt kê,,có,120,61,73.2,161.1,45.4,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,USDA SR28 / FoodData Central (proxy),USDA SR28 NDB_No 19189,USDA SR28 Energ_Kcal (trên 100 g phần ăn được),"PUDDINGS,CHOC,DRY MIX,INST,PREP W/ WHOLE MILK",https://catalog.data.gov/dataset/composition-of-foods-raw-processed-prepared-usda-national-nutrient-database-for-standar-28,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/,cao,thap,Giả định sữa bò nguyên kem. Lượng sữa hoặc nền sữa-kem trong một phần đồ uống/tráng miệng. Khớp gần với bản ghi USDA SR28; điểm khớp 100%.,2026-08-02
HN045,Kem Hồ Tây,Đồ ngọt Hà Nội,2,đường,Đường trắng,Granulated sugar,đường/chất tạo ngọt,khô,chat_tao_ngot,có,thành phần được liệt kê,,có,20,387,77.4,161.1,48,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,USDA SR28 / FoodData Central (proxy),USDA SR28 NDB_No 19909,USDA SR28 Energ_Kcal (trên 100 g phần ăn được),"SWEETENERS,SUGAR SUB,GRANULATED,BROWN",https://catalog.data.gov/dataset/composition-of-foods-raw-processed-prepared-usda-national-nutrient-database-for-standar-28,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/,cao,thap,Sucrose dạng hạt. Lượng chất tạo ngọt thực tế trong một phần; dấu gạch chéo là lựa chọn. Khớp gần với bản ghi USDA SR28; điểm khớp 100%.,2026-08-02
HN045,Kem Hồ Tây,Đồ ngọt Hà Nội,3,hương vani/cốm/sô-cô-la,hương vani,"Vanilla, green-rice or chocolate flavoring",hương liệu,dạng cô đặc/bột,huong_lieu_lua_chon,có,lựa chọn mặc định,HN045-03,có,3,350,10.5,161.1,6.5,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,USDA SR28 / FoodData Central (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,USDA SR28 Energ_Kcal (trên 100 g phần ăn được),"Vanilla, green-rice or chocolate flavoring",https://catalog.data.gov/dataset/composition-of-foods-raw-processed-prepared-usda-national-nutrient-database-for-standar-28,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/,thap,thap,"Nếu chỉ dùng tinh chất, năng lượng thực tế rất nhỏ. Tách từ cụm lựa chọn “hương vani/cốm/sô-cô-la”; dùng giá trị đại diện gần nhất. Một lựa chọn hương liệu; không cộng tất cả các mục ngăn bằng dấu gạch chéo. Các lựa chọn cùng nhóm không dùng để cộng đồng thời.",2026-08-02
HN045,Kem Hồ Tây,Đồ ngọt Hà Nội,4,hương vani/cốm/sô-cô-la,Cốm xanh,Green sticky rice flakes,ngũ cốc,"rang/dẹp, ẩm nhẹ",huong_lieu_lua_chon,có,lựa chọn thay thế,HN045-03,không,3,350,10.5,161.1,0,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,Viện Dinh dưỡng Việt Nam / FAO (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,NIN/FAO Energy kcal (trên 100 g phần ăn được),Green sticky rice flakes,https://viendinhduong.vn/en/cong-cu-va-tien-ich/nutritional-value-of-food; https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/,trung_binh,thap,Biến thiên theo độ ẩm và đường thêm. Một lựa chọn hương liệu; không cộng tất cả các mục ngăn bằng dấu gạch chéo. Các lựa chọn cùng nhóm không dùng để cộng đồng thời.,2026-08-02
HN045,Kem Hồ Tây,Đồ ngọt Hà Nội,5,hương vani/cốm/sô-cô-la,sô-cô-la,"Vanilla, green-rice or chocolate flavoring",hương liệu,dạng cô đặc/bột,huong_lieu_lua_chon,có,lựa chọn thay thế,HN045-03,không,3,350,10.5,161.1,0,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,USDA SR28 / FoodData Central (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,USDA SR28 Energ_Kcal (trên 100 g phần ăn được),"Vanilla, green-rice or chocolate flavoring",https://catalog.data.gov/dataset/composition-of-foods-raw-processed-prepared-usda-national-nutrient-database-for-standar-28,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/,thap,thap,"Nếu chỉ dùng tinh chất, năng lượng thực tế rất nhỏ. Tách từ cụm lựa chọn “hương vani/cốm/sô-cô-la”; dùng giá trị đại diện gần nhất. Một lựa chọn hương liệu; không cộng tất cả các mục ngăn bằng dấu gạch chéo. Các lựa chọn cùng nhóm không dùng để cộng đồng thời.",2026-08-02
HN046,Kem Tràng Tiền,Đồ ngọt Hà Nội,1,sữa,Sữa bò nguyên kem,Whole milk,sữa,dạng lỏng,sua_nen,có,thành phần được liệt kê,,có,120,61,73.2,308.1,23.8,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,USDA SR28 / FoodData Central (proxy),USDA SR28 NDB_No 19189,USDA SR28 Energ_Kcal (trên 100 g phần ăn được),"PUDDINGS,CHOC,DRY MIX,INST,PREP W/ WHOLE MILK",https://catalog.data.gov/dataset/composition-of-foods-raw-processed-prepared-usda-national-nutrient-database-for-standar-28,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/,cao,thap,Giả định sữa bò nguyên kem. Lượng sữa hoặc nền sữa-kem trong một phần đồ uống/tráng miệng. Khớp gần với bản ghi USDA SR28; điểm khớp 100%.,2026-08-02
HN046,Kem Tràng Tiền,Đồ ngọt Hà Nội,2,đường,Đường trắng,Granulated sugar,đường/chất tạo ngọt,khô,chat_tao_ngot,có,thành phần được liệt kê,,có,20,387,77.4,308.1,25.1,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,USDA SR28 / FoodData Central (proxy),USDA SR28 NDB_No 19909,USDA SR28 Energ_Kcal (trên 100 g phần ăn được),"SWEETENERS,SUGAR SUB,GRANULATED,BROWN",https://catalog.data.gov/dataset/composition-of-foods-raw-processed-prepared-usda-national-nutrient-database-for-standar-28,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/,cao,thap,Sucrose dạng hạt. Lượng chất tạo ngọt thực tế trong một phần; dấu gạch chéo là lựa chọn. Khớp gần với bản ghi USDA SR28; điểm khớp 100%.,2026-08-02
HN046,Kem Tràng Tiền,Đồ ngọt Hà Nội,3,cốm/đậu xanh/cacao,Cốm xanh,Green sticky rice flakes,ngũ cốc,"rang/dẹp, ẩm nhẹ",nhan_ngot_dam_thuc_vat,có,lựa chọn mặc định,HN046-03,có,45,350,157.5,308.1,51.1,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,Viện Dinh dưỡng Việt Nam / FAO (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,NIN/FAO Energy kcal (trên 100 g phần ăn được),Green sticky rice flakes,https://viendinhduong.vn/en/cong-cu-va-tien-ich/nutritional-value-of-food; https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/,trung_binh,thap,"Biến thiên theo độ ẩm và đường thêm. Lượng nhân/hỗn hợp đậu trong một phần bánh/chè; dấu gạch chéo là biến thể, không phải cộng tất cả. Các lựa chọn cùng nhóm không dùng để cộng đồng thời.",2026-08-02
HN046,Kem Tràng Tiền,Đồ ngọt Hà Nội,4,cốm/đậu xanh/cacao,Đậu xanh hạt khô,"Mung beans, dry",đậu,khô,nhan_ngot_dam_thuc_vat,có,lựa chọn thay thế,HN046-03,không,45,347,156.2,308.1,0,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,Viện Dinh dưỡng Việt Nam / FAO (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,NIN/FAO Energy kcal (trên 100 g phần ăn được),"Mung beans, dry",https://viendinhduong.vn/en/cong-cu-va-tien-ich/nutritional-value-of-food; https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/,cao,thap,"Hạt khô; khi nấu kcal/100 g giảm do hút nước. Lượng nhân/hỗn hợp đậu trong một phần bánh/chè; dấu gạch chéo là biến thể, không phải cộng tất cả. Các lựa chọn cùng nhóm không dùng để cộng đồng thời.",2026-08-02
HN046,Kem Tràng Tiền,Đồ ngọt Hà Nội,5,cốm/đậu xanh/cacao,cacao,"Green rice, mung bean or cocoa",thành phần ghép,khô/bột,nhan_ngot_dam_thuc_vat,có,lựa chọn thay thế,HN046-03,không,45,380,171,308.1,0,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,Viện Dinh dưỡng Việt Nam / FAO (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,NIN/FAO Energy kcal (trên 100 g phần ăn được),"Green rice, mung bean or cocoa",https://viendinhduong.vn/en/cong-cu-va-tien-ich/nutritional-value-of-food; https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/,thap,thap,"Giá trị trung bình ba lựa chọn. Tách từ cụm lựa chọn “cốm/đậu xanh/cacao”; dùng giá trị đại diện gần nhất. Lượng nhân/hỗn hợp đậu trong một phần bánh/chè; dấu gạch chéo là biến thể, không phải cộng tất cả. Các lựa chọn cùng nhóm không dùng để cộng đồng thời.",2026-08-02
HN047,Tào phớ,Đồ ngọt Hà Nội,1,đậu nành,Đậu nành hạt khô,"Soybeans, dry",đậu,khô,dam_thuc_vat_rau_hat,có,thành phần được liệt kê,,có,60,446,267.6,371.4,72.1,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,USDA SR28 / FoodData Central (proxy),USDA SR28 NDB_No 16111,USDA SR28 Energ_Kcal (trên 100 g phần ăn được),"SOYBEANS,MATURE SEEDS,DRY RSTD",https://catalog.data.gov/dataset/composition-of-foods-raw-processed-prepared-usda-national-nutrient-database-for-standar-28,https://vietnam.travel/node/1560,cao,thap,"Hạt khô; dạng ngâm/nấu có kcal thấp hơn. Khối lượng đậu dùng trong một suất, theo trạng thái đã nấu/luộc. Khớp gần với bản ghi USDA SR28; điểm khớp 100%.",2026-08-02
HN047,Tào phớ,Đồ ngọt Hà Nội,2,đường,Đường trắng,Granulated sugar,đường/chất tạo ngọt,khô,chat_tao_ngot,có,thành phần được liệt kê,,có,20,387,77.4,371.4,20.8,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,USDA SR28 / FoodData Central (proxy),USDA SR28 NDB_No 19909,USDA SR28 Energ_Kcal (trên 100 g phần ăn được),"SWEETENERS,SUGAR SUB,GRANULATED,BROWN",https://catalog.data.gov/dataset/composition-of-foods-raw-processed-prepared-usda-national-nutrient-database-for-standar-28,https://vietnam.travel/node/1560,cao,thap,Sucrose dạng hạt. Lượng chất tạo ngọt thực tế trong một phần; dấu gạch chéo là lựa chọn. Khớp gần với bản ghi USDA SR28; điểm khớp 100%.,2026-08-02
HN047,Tào phớ,Đồ ngọt Hà Nội,3,gừng/hoa nhài,Gừng tươi,"Ginger root, raw",gia vị,"tươi, sống",huong_lieu_lua_chon,có,lựa chọn mặc định,HN047-03,có,3,80,2.4,371.4,0.6,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,USDA SR28 / FoodData Central (proxy),USDA SR28 NDB_No 11216,USDA SR28 Energ_Kcal (trên 100 g phần ăn được),"GINGER ROOT,RAW",https://catalog.data.gov/dataset/composition-of-foods-raw-processed-prepared-usda-national-nutrient-database-for-standar-28,https://vietnam.travel/node/1560,cao,thap,Gừng củ tươi. Một lựa chọn hương liệu; không cộng tất cả các mục ngăn bằng dấu gạch chéo. Khớp gần với bản ghi USDA SR28; điểm khớp 100%. Các lựa chọn cùng nhóm không dùng để cộng đồng thời.,2026-08-02
HN047,Tào phớ,Đồ ngọt Hà Nội,4,gừng/hoa nhài,hoa nhài,Ginger or jasmine flavoring,hương liệu/gia vị,tươi hoặc pha hương,huong_lieu_lua_chon,có,lựa chọn thay thế,HN047-03,không,3,45,1.4,371.4,0,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,Viện Dinh dưỡng Việt Nam / FAO (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,NIN/FAO Energy kcal (trên 100 g phần ăn được),Ginger or jasmine flavoring,https://viendinhduong.vn/en/cong-cu-va-tien-ich/nutritional-value-of-food; https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,https://vietnam.travel/node/1560,thap,thap,Proxy hương liệu; thường dùng lượng rất nhỏ. Tách từ cụm lựa chọn “gừng/hoa nhài”; dùng giá trị đại diện gần nhất. Một lựa chọn hương liệu; không cộng tất cả các mục ngăn bằng dấu gạch chéo. Các lựa chọn cùng nhóm không dùng để cộng đồng thời.,2026-08-02
HN047,Tào phớ,Đồ ngọt Hà Nội,5,thạch,Thạch tráng miệng,Jelly dessert,tráng miệng,"đông gel, có đường",topping_trang_mieng,có,thành phần được liệt kê,,có,40,60,24,371.4,6.5,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,USDA SR28 / FoodData Central (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,USDA SR28 Energ_Kcal (trên 100 g phần ăn được),Jelly dessert,https://catalog.data.gov/dataset/composition-of-foods-raw-processed-prepared-usda-national-nutrient-database-for-standar-28,https://vietnam.travel/node/1560,thap,thap,Phụ thuộc nồng độ đường và loại chất tạo gel. Khối lượng topping đã nấu/pha trong một phần; gelatin khô dùng đúng 40 g khô và sẽ được bắt bằng quy tắc riêng nếu cần độ chính xác cao.,2026-08-02
HN048,Cà phê trứng,Đồ uống Hà Nội,1,cà phê,Cà phê pha,"Coffee, brewed",đồ uống,"đã pha, không đường",nguyen_lieu_do_uong_kho,có,thành phần được liệt kê,,có,18,2,0.4,286.8,0.1,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,USDA SR28 / FoodData Central (proxy),USDA SR28 NDB_No 14180,USDA SR28 Energ_Kcal (trên 100 g phần ăn được),"BEVERAGES,COFFEE,BREWED,BRKFST BLEND",https://catalog.data.gov/dataset/composition-of-foods-raw-processed-prepared-usda-national-nutrient-database-for-standar-28,https://vietnam.travel/things-to-do/must-try-food-in-hanoi,cao,thap,"Không tính sữa, đường hay kem. Lượng bột cà phê khô dùng pha một ly; phần bã không được uống nên calo hấp thụ thực tế rất thấp. Khớp gần với bản ghi USDA SR28; điểm khớp 100%.",2026-08-02
HN048,Cà phê trứng,Đồ uống Hà Nội,2,lòng đỏ trứng,Lòng đỏ trứng gà,Egg yolk,trứng,tươi/chín,dam_beo,có,thành phần được liệt kê,,có,35,322,112.7,286.8,39.3,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,USDA SR28 / FoodData Central (proxy),USDA SR28 NDB_No 01125,USDA SR28 Energ_Kcal (trên 100 g phần ăn được),"EGG,YOLK,RAW,FRSH",https://catalog.data.gov/dataset/composition-of-foods-raw-processed-prepared-usda-national-nutrient-database-for-standar-28,https://vietnam.travel/things-to-do/must-try-food-in-hanoi,cao,thap,"Lòng đỏ riêng, không có lòng trắng. Khoảng hai lòng đỏ dùng cho đồ uống/sốt. Khớp gần với bản ghi USDA SR28; điểm khớp 100%.",2026-08-02
HN048,Cà phê trứng,Đồ uống Hà Nội,3,sữa đặc,Sữa đặc có đường,Sweetened condensed milk,sữa/đường,dạng đặc,sua_ngot,có,thành phần được liệt kê,,có,30,321,96.3,286.8,33.6,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,USDA SR28 / FoodData Central (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,USDA SR28 Energ_Kcal (trên 100 g phần ăn được),Sweetened condensed milk,https://catalog.data.gov/dataset/composition-of-foods-raw-processed-prepared-usda-national-nutrient-database-for-standar-28,https://vietnam.travel/things-to-do/must-try-food-in-hanoi,cao,thap,Sữa đặc có đường thông dụng. Khoảng hai thìa canh sữa đặc cho một ly.,2026-08-02
HN048,Cà phê trứng,Đồ uống Hà Nội,4,đường,Đường trắng,Granulated sugar,đường/chất tạo ngọt,khô,chat_tao_ngot,có,thành phần được liệt kê,,có,20,387,77.4,286.8,27,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,USDA SR28 / FoodData Central (proxy),USDA SR28 NDB_No 19909,USDA SR28 Energ_Kcal (trên 100 g phần ăn được),"SWEETENERS,SUGAR SUB,GRANULATED,BROWN",https://catalog.data.gov/dataset/composition-of-foods-raw-processed-prepared-usda-national-nutrient-database-for-standar-28,https://vietnam.travel/things-to-do/must-try-food-in-hanoi,cao,thap,Sucrose dạng hạt. Lượng chất tạo ngọt thực tế trong một phần; dấu gạch chéo là lựa chọn. Khớp gần với bản ghi USDA SR28; điểm khớp 100%.,2026-08-02
HN049,Nộm hoa chuối,Gỏi và nộm,1,hoa chuối,Bắp chuối thái,"Banana blossom, raw",rau,"tươi, sống",rau_cu_an_kem,có,thành phần được liệt kê,,có,70,51,35.7,355.6,10,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,Viện Dinh dưỡng Việt Nam / FAO (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,NIN/FAO Energy kcal (trên 100 g phần ăn được),"Banana blossom, raw",https://viendinhduong.vn/en/cong-cu-va-tien-ich/nutritional-value-of-food; https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,https://vietnam.travel/node/1560,trung_binh,thap,Phần non ăn được. Khối lượng rau/củ ăn kèm hoặc làm nộm trong một phần.,2026-08-02
HN049,Nộm hoa chuối,Gỏi và nộm,2,tai heo/gà,tai heo,Pig ear or chicken,thành phần ghép,chín,dam_chinh,có,lựa chọn mặc định,HN049-02,có,90,250,225,355.6,63.3,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,Viện Dinh dưỡng Việt Nam / FAO (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,NIN/FAO Energy kcal (trên 100 g phần ăn được),Pig ear or chicken,https://viendinhduong.vn/en/cong-cu-va-tien-ich/nutritional-value-of-food; https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,https://vietnam.travel/node/1560,thap,thap,Trung bình hai lựa chọn; tai heo thường béo hơn. Tách từ cụm lựa chọn “tai heo/gà”; dùng giá trị đại diện gần nhất. Khối lượng phần ăn được; tổ hợp có dấu gạch chéo được coi là một lựa chọn/hỗn hợp. Các lựa chọn cùng nhóm không dùng để cộng đồng thời.,2026-08-02
HN049,Nộm hoa chuối,Gỏi và nộm,3,tai heo/gà,Thịt gà chín,"Chicken meat, cooked",thịt gia cầm,"chín, thịt và da đại diện",dam_chinh,có,lựa chọn thay thế,HN049-02,không,90,239,215.1,355.6,0,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,Viện Dinh dưỡng Việt Nam / FAO (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,NIN/FAO Energy kcal (trên 100 g phần ăn được),"Chicken meat, cooked",https://viendinhduong.vn/en/cong-cu-va-tien-ich/nutritional-value-of-food; https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,https://vietnam.travel/node/1560,trung_binh,thap,Biến thiên theo phần cắt và có da hay không. Khối lượng phần ăn được; tổ hợp có dấu gạch chéo được coi là một lựa chọn/hỗn hợp. Các lựa chọn cùng nhóm không dùng để cộng đồng thời.,2026-08-02
HN049,Nộm hoa chuối,Gỏi và nộm,4,lạc,Lạc nhân,Peanuts,hạt/đậu,khô hoặc rang,hat_beo_topping,có,thành phần được liệt kê,,có,15,567,85.1,355.6,23.9,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,Viện Dinh dưỡng Việt Nam / FAO (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,NIN/FAO Energy kcal (trên 100 g phần ăn được),Peanuts,https://viendinhduong.vn/en/cong-cu-va-tien-ich/nutritional-value-of-food; https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,https://vietnam.travel/node/1560,cao,thap,"Nhân lạc ăn được, không vỏ. Một nhúm hạt/lạc/vừng làm topping.",2026-08-02
